"pr_dung","flies","oven_block"
0.143374695792596,223,1
0.155191672683418,0,1
0.141335355460665,100,1
0.138098674164359,97,1
0.148801580858461,130,1
0.144322706853747,169,1
0.14288706624736,183,1
0.170516517801167,77,2
0.159387849046266,0,2
0.165135449835033,51,2
0.174707783121421,49,2
0.190417432529526,81,2
0.180672737809199,45,3
0.170010937614922,98,3
0.165410669821387,168,3
0.180393144039698,22,3
0.172738953715193,4,3
0.170106078080992,98,3
